Emp_ID,Name,Salary,Branch,Position,State,Parent Name,Address,Phone no.,Aadhar no.,PAN card no.,Joining date ,DOB(DDMMYYYY),Pension Status,Retirement status,Provident fund
E1001,Rakesh Sharma,50000,Delhi,Branch manager,Delhi,S.K Sharma,"Janak Puri, New Delhi",9876543219,1234 7654 9087,ASWFE4790X,21 09 1997,30 08 1976,NA,NA,6000
E1002,Manjot Kaur,45000,Chandigarh,Financial Advisor,Punjab,Harjot Singh,"Sec-16,Chandigarh",9865432198,4567 1238 8097,MNBV3289Y,3 03 2001,4 10 1986,NA,NA,5400
E1003,Saurav Joshi,47000,Kolkata,Loan processor,West Bengal,A.K Joshi,"Dum Dum, Kolkata",9854321177,1235 7654 9087,QWSE1233I,19 12 1999,31 08 1976,NA,NA,5640
E1004,Arjun Singh,40000,Lucknow,Banker,Uttarpradesh,Ajay Singh,"Gomti Nagar,Lucknow",9843210156,4568 1238 8097,ASWFE4790X,4 03 2001,5 10 1986,NA,NA,4800
E1005,Seema Jain,42000,Bhopal,Credit Analyst,Madhyapradesh,Rajesh Jain,"Arera colony, Bhopal",9832099135,1236 7654 9087,MNBV3289Y,20 12 1999,3 09 1976,NA,NA,5040
E1006,Rhea Modi,48000,Ahemadabad,mortgage consultant,Gujarat,Hasmukh Modi,"Prahlad Nagar, Ahemdabad",9820988114,4569 1238 8097,QWSE1233I,5 03 2001,6 10 1986,NA,NA,5760
E1007,Salim Ali,43000,Ahemadabad,Investment Representative,Gujarat,Muhammad Ali,"Ambli-Bopal,Ahmedabad",9809877093,1237 7654 9087,ASWFE4790X,21 12 1999,6 08 1971,NA,NA,5160
E1008,Suhani Agarwal,46000,Mumbai,Financial Analyst,Maharasthra,Priya Agarwal,"Chembur,Mumbai",9798766072,4570 1238 8097,MNBV3289Y,6 03 2001,7 10 1986,NA,NA,5520
E1009,Dev Kumar,41000,Lucknow,Relationship manager,Uttarpradesh,Rakesh Kumar,"Hazratganj,Lucknow",9787655051,1238 7654 9087,QWSE1233I,22 12 1999,6 08 1969,NA,NA,4920
E1010,Neha Kaushal,44000,Mumbai,Asset manager,Maharasthra,Tarun Kaushal,"Andheri, Mumbai",9776544030,4571 1238 8097,ASWFE4790X,7 03 2001,8 10 1986,NA,NA,5280
E1011,Shubham Rawat,39000,Gurugram,Underwriter,Haryana,RK Rawat,"Sec-45,Gurugram",9765433009,1239 7654 9087,MNBV3289Y,23 12 1999,5 08 1969,NA,NA,4680
